sr_no,procedure,category,min_price,avg_price,max_price
904,Microscopic VEA/ Vaso-Vasostomy (for Infertility),ent,13500.0,15525.0,15525.0
905,"Cystoscopic Botulinum Toxin Injection ( Over active bladder/ Neurogenic
bladder)",ent,6800.0,7820.0,7820.0
906,Peyronie’s disease – Plaque excision with grafting,ent,3400.0,4000.0,4000.0
907,"High Intensity Focus Ultrasound (HIFU) (Robotic) for
Carcinoma prostrate and renal cell carcinoma",ent,4600.0,5290.0,5290.0
908,Prosthetic surgery for urinary incontinence,ent,2300.0,2645.0,2645.0
909,TRUS guided prostate biopsy,ent,575.0,661.0,661.0
910,Ultra sound guided PCN,ent,648.0,745.0,745.0
911,Other Major Surgery,ent,15000.0,17250.0,17250.0
912,Other Minor Surgery,ent,6800.0,7820.0,7820.0
913,Craniotomy and Evacuation of Haematoma -Subdural,ent,45644.0,52490.0,52490.0
914,Craniotomy and Evacuation of Haematoma -Extradural,ent,50000.0,57500.0,57500.0
915,Evacuation /Excision of Brain Abscess by craniotomy,ent,40000.0,46000.0,46000.0
916,Excision of Lobe (Frontal Temporal Cerebellum etc.),ent,41000.0,47150.0,47150.0
917,Excision of Brain Tumours -Supratentorial,ent,39123.0,44991.0,44991.0
918,Excision of Brain Tumours -Infratentorial,ent,45000.0,51750.0,51750.0
919,Surgery of spinal Cord Tumours,ent,45000.0,51750.0,51750.0
920,Ventriculoatrial /Ventriculoperitoneal Shunt,ent,25000.0,28750.0,28750.0
921,Twist Drill Craniostomy,ent,4250.0,5000.0,5000.0
922,Subdural Tapping,ent,2456.0,2824.0,2824.0
923,Ventricular Tapping,ent,2967.0,3412.0,3412.0
924,Abscess Tapping,ent,2875.0,3306.0,3306.0
925,Placement of ICP Monitor -,ent,2588.0,2975.0,2975.0
926,Skull Traction Application,ent,2300.0,2645.0,2645.0
927,Lumber Pressure Monitoring,ent,4250.0,5000.0,5000.0
928,Vascular Malformations,ent,22000.0,25300.0,25300.0
929,Meningo Encephalocoele excision and repair,ent,13500.0,15525.0,15525.0
930,Meningomyelocoel Repair,ent,24995.0,28744.0,28744.0
931,C.S.F. Rhinorrhaea Repair,ent,28750.0,33063.0,33063.0
932,Cranioplasty,ent,24150.0,27773.0,27773.0
933,Anterior Cervical Dissectomy,ent,16600.0,19090.0,19090.0
934,Brachial Plexus Exploration and neurotization,ent,15525.0,17854.0,17854.0
935,Median Nerve Decompression,ent,14000.0,16100.0,16100.0
936,Peripheral Nerve Surgery – Major,ent,15525.0,17854.0,17854.0
937,Peripheral Nerve Surgery Minor,ent,8280.0,9522.0,9522.0
938,Ventriculo-Atrial Shunt,ent,11615.0,13357.0,13357.0
939,Nerve Biopsy,ent,6900.0,7935.0,7935.0
940,Brain Biopsy,ent,5808.0,6679.0,6679.0
941,Anterior Cervical Spine Surgery with fusion,ent,28980.0,33327.0,33327.0
942,Anterio Lateral Decompression of spine,ent,25875.0,29757.0,29757.0
943,Brain Mapping,ent,837.0,963.0,963.0
944,Cervical or Dorsal or Lumbar Laminectomy,ent,20700.0,23805.0,23805.0
945,Combined Trans-oral Surgery & CV Junction Fusion,ent,31050.0,35708.0,35708.0
946,C.V. Junction Fusion procedures,ent,30000.0,34500.0,34500.0
947,Depressed Fracture Elevation,ent,25000.0,28750.0,28750.0
948,Lumbar Discectomy,ent,24840.0,28566.0,28566.0
949,Endarterectomy (Carotid),ent,20000.0,23000.0,23000.0
950,R.F. Lesion for Trigeminal Neuralgia,ent,11500.0,13225.0,13225.0
951,Spasticity Surgery -,ent,35708.0,41063.0,41063.0
952,Spinal Fusion Procedure,ent,30000.0,34500.0,34500.0
953,Spinal Intra Medullary Tumours,ent,34500.0,39675.0,39675.0
954,Spinal Bifida Surgery Major,ent,17078.0,19639.0,19639.0
955,Spinal Bifida Surgery Minor,ent,15000.0,17250.0,17250.0
956,Stereotaxic Procedures- biopsy/aspiration of cyst,ent,20700.0,23805.0,23805.0
957,Trans Sphenoidal Surgery,ent,30000.0,34500.0,34500.0
958,Trans Oral Surgery,ent,30000.0,34500.0,34500.0
959,Implantation of DBS -One electrode,ent,34500.0,39675.0,39675.0
960,Implantation of DBS -two electrodes,ent,36225.0,41659.0,41659.0
961,Endoscopic aqueductoplasty,ent,15000.0,17250.0,17250.0
962,Facial nerve reconstruction,ent,30000.0,34500.0,34500.0
963,Carotid stenting,ent,42263.0,48602.0,48602.0
964,Cervical disc arthroplasty,ent,24840.0,28566.0,28566.0
965,Lumbar disc arthroplasty,ent,13800.0,15870.0,15870.0
966,Corpus callostomy for Epilepsy,ent,35000.0,40250.0,40250.0
967,Hemishpherotomy for Epilepsy,ent,28980.0,33327.0,33327.0
968,Endoscopic CSF rhinorrhea repair,ent,30000.0,34500.0,34500.0
969,Burr hole evacuation of chronic subdural haematoma,ent,24150.0,27773.0,27773.0
970,Epilepsy surgery,ent,36225.0,41659.0,41659.0
971,RF lesion for facet joint pain syndrome,ent,17250.0,19838.0,19838.0
972,Cervical laminoplasty,ent,28800.0,33120.0,33120.0
973,Lateral mass C1-C2 screw fixation,ent,23000.0,26450.0,26450.0
974,Microsurgical decompression for Trigeminal nerve,ent,38000.0,43700.0,43700.0
975,Microsurgical decompression for hemifacial spasm,ent,4181.0,4809.0,4809.0
976,IC EC bypass procedures,ent,32000.0,36800.0,36800.0
977,Image guided craniotomy,ent,28980.0,33327.0,33327.0
978,Baclofen pump implantation,ent,39000.0,44850.0,44850.0
979,Programmable VP shunt,ent,25000.0,28750.0,28750.0
980,Endoscopic sympathectomy,ent,15396.0,17706.0,17706.0
981,Lumber puncture,ent,207.0,238.0,238.0
982,External ventricular drainage (EVD),ent,4140.0,4761.0,4761.0
983,Endoscopic 3rd ventriculostomy,ent,40000.0,46000.0,46000.0
984,Endoscopic cranial surgery/Biopsy/aspiration,ent,31536.0,36266.0,36266.0
985,Endoscopic discectomy (Lumbar Cervical),ent,35621.0,40964.0,40964.0
986,Aneurysm coiling (Endovascular),ent,34400.0,39560.0,39560.0
987,Surgery for skull fractures,ent,36000.0,41400.0,41400.0
988,Carpel Tunnel decompression,ent,15000.0,17250.0,17250.0
989,Clipping of intracranial aneurysm,ent,24150.0,27773.0,27773.0
990,Surgery for intracranial Arteriovenous malformarions(AVM),ent,40000.0,46000.0,46000.0
991,Foramen magnum decompression for Chari Malformation,ent,93750.0,107813.0,107813.0
992,Dorsal column stimulation for backache in failed back syndrome,ent,25875.0,29757.0,29757.0
